Fork Length (cm)
69
44
61
56
37
47
38
38
54
40
67
51
56
40
62
39
33
77
34
49
43
70
62
60
62
58
45
48
54
35
38
55
39
45
40
42
46
76
50
48
46
48
50
53
56
40
55
49
56
48
46
52
55
56
50
47
51
66
44
35
29
43
61
28
34
43
60
