index,Waypoint on GPS,Final Waypoint,Fishing day,set,Date,Biologist,Captain,Region,Site,Lumped site,Latitude,Longitude,Anglers,Bait type,Species or lure type,Color of lure,Size of bait (cm),Depth (ft),Species,Length,Weight,Sex,Fin clip #,Floy tag,Take or Released,"Notes (stomach, eyes, etc.)",taxa,Other notes/ Blood vial number,,,,,,,,,,,,,,,,,,,
103,340,340,6,6.6,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.56227633,-122.7698726,4,Herring,NA,NA,6,150,red irish lord,26,0.25,U,NA,NA,Take,kept for bait,groundfish,,,,,,,,,,,,,,,,,,,,
104,341,341,6,6.6,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.56217659,-122.7697972,4,Herring,NA,NA,6,150,lingcod,68,3,F,82A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
105,343,343,6,6.6,4/21/17,KA,SK,SJI,Black Rock/Strawberry Island,Blakely channel,48.56245688,-122.76837,4,Herring,NA,NA,6,242,quillback rockfish,45,1.95,F,NA,NA,Released,popeyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
106,355,355,6,6.11,4/21/17,KA,SK,SJI,Point Lawrence,Point Lawrence,48.67490329,-122.7392401,2,Live large,Kelp greenling,NA,36,237,lingcod,88,7.8,F,57A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
107,360,360,6,6.13,4/21/17,KA,SK,SJI,Peapod/Buckeye/Sisters,Point Lawrence,48.69582394,-122.7548571,4,Artificial lure,Jigs,Motor oil w/green skirt,8,157,copper rockfish,40,1.3,M,NA,NA,Released,popeyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
108,363,363,6,6.14,4/21/17,KA,SK,SJI,Peapod/Buckeye/Sisters,Point Lawrence,48.69489237,-122.7552537,4,Artificial lure,Jigs,Motor oil w/green skirt,8,118,copper rockfish,42,2.4,F,NA,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
109,368,368,6,6.16,4/21/17,KA,SK,SJI,Peapod/Buckeye/Sisters,Point Lawrence,48.70962843,-122.7650326,4,Artificial lure,PWD,Green,8,250,quillback rockfish,37,1,M,NA,NA,Released,good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
110,380,380,7,7.1,4/24/17,KA,SK,CPS,Blakely Rocks/Pt. Glover/Boeing Creek,Blakely rocks,47.58750223,-122.5462531,3,Artificial lure,PWD,Green,8,63,brown rockfish,32,0.6,F,87A,NA,Released,eyed larvae; good; swam down,rockfish,,,,,,,,,,,,,,,,,,,,
111,381,381,7,7.1,4/24/17,KA,SK,CPS,Blakely Rocks/Pt. Glover/Boeing Creek,Blakely rocks,47.58755655,-122.5461794,3,Artificial lure,PWD,Green,8,65,brown rockfish,32,0.6,M,100A,NA,Released,everted; popped up to surface after initially swimming down; descended,rockfish,,,,,,,,,,,,,,,,,,,,
112,392,392,7,7.6,4/24/17,KA,SK,CPS,Blakely Rocks/Pt. Glover/Boeing Creek,Blakely rocks,47.58245272,-122.5466191,4,Artificial lure,PWD,Green,6,53,staghorn sculpin,NA,NA,NA,NA,NA,Take,kept for bait,groundfish,,,,,,,,,,,,,,,,,,,,
113,409,409,7,7.13,4/24/17,KA,SK,CPS,South Blake,South Blake,47.52909604,-122.4931089,4,Live large,Pacific sanddab,NA,23,60,lingcod,59,2.1,M,7A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
114,412,412,7,7.14,4/24/17,KA,SK,CPS,South Blake,South Blake,47.52919989,-122.4930309,4,Live large,Pacific sanddab,NA,30,62,lingcod,81,5.3,F,80A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
115,415,415,7,7.15,4/24/17,KA,SK,CPS,South Blake,South Blake,47.52896277,-122.492529,4,Live large,Pacific sanddab,NA,25,55,lingcod,84,5.7,F,99A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
116,423,423,7,7.18,4/24/17,KA,SK,CPS,4 mile rock,4 mile rock,47.6399416,-122.4272075,4,Herring,NA,NA,6,82,quillback rockfish,33,0.8,F,NA,NA,Released dead,eyed larvae; stomach chomped by following lingcod; released to water to die,rockfish,,,,,,,,,,,,,,,,,,,,
117,423,423,7,7.18,4/24/17,KA,SK,CPS,4 mile rock,4 mile rock,47.6399416,-122.4272075,4,Herring,NA,NA,6,82,lingcod,81,6.1,F,70A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
118,434,434,7,7.22,4/24/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64017646,-122.4272193,3,Herring,NA,NA,6,85,brown rockfish,28,0.42,M,97A,NA,Released,everted; descended,rockfish,,,,,,,,,,,,,,,,,,,,
119,440,440,8,8.2,4/27/17,GW,SK,CPS,Possession offshore,Possession offshore,47.89266436,-122.4244845,4,Live large,kelp greenling,NA,33,53,lingcod,105,12+,F,59A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
120,450,450,8,8.7,4/27/17,GW,SK,CPS,Possession inshore,Possession inshore,47.90648704,-122.4334806,3,Live large,Pacific sanddab,NA,23,45,lingcod,90,7.4,F,85A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
121,453,453,8,8.9,4/27/17,GW,SK,CPS,Keystone,Keystone west,48.13768457,-122.675409,3,Artificial lure,PWD,Green,8,102,lingcod,47,0.8,M,40A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
122,461,461,8,8.12,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13680824,-122.6765961,3,Artificial lure,PWD,Green,8,105,black rockfish,50,NA,NA,36A,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
123,466,466,8,8.14,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13670003,-122.6761711,4,Artificial lure,PWD,Green,8,95,lingcod,78,NA,F,45A,116,Released,"Caught by fisherman on May 4, 2017",lingcod,,,,,,,,,,,,,,,,,,,,
124,468,468,8,8.15,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.1361744,-122.6765065,4,Artificial lure,PWD,Green,8,170,copper rockfish,41,NA,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
125,470,470,8,8.16,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13658562,-122.6766136,4,Artificial lure,PWD,Green,8,170,lingcod,76,5,M,8A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
126,470,470,8,8.16,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13658562,-122.6766136,4,Artificial lure,PWD,Green,8,180,lingcod,76,4.5,F,32A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
127,470,470,8,8.16,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13658562,-122.6766136,4,Artificial lure,PWD,Green,8,170,lingcod,84,NA,F,48A,117,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
128,471,471,8,8.16,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13653332,-122.6768901,4,Artificial lure,PWD,Green,8,180,quillback rockfish,37,NA,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
129,472,472,8,8.16,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13576445,-122.6754183,4,Artificial lure,PWD,Green,8,187,lingcod,94,NA,F,71A,118,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
130,476,476,8,8.17,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13462493,-122.6717468,4,Artificial lure,PWD,Green,8,180,copper rockfish,36,NA,U,NA,NA,Released,good,rockfish,,,,,,,,,,,,,,,,,,,,
131,477,477,8,8.17,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13449467,-122.6713674,4,Artificial lure,PWD,Green,8,180,copper rockfish,45,NA,M,NA,NA,Released,popeyes; descended,rockfish,,,,,,,,,,,,,,,,,,,,
132,479,479,8,8.17,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13488451,-122.6722995,4,Artificial lure,PWD,Green,8,146,copper rockfish,44,NA,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
133,480,480,8,8.17,4/27/17,GW,SK,CPS,Keystone,Keystone east,48.13472727,-122.6717351,4,Artificial lure,PWD,Green,8,145,lingcod,73,NA,F,62A,119,Released,,lingcod,,,,,,,,,,,,,,,,,,,,
134,494,494,9,9.2,4/28/17,GL,SK,CPS,Possession inshore,Possession inshore,47.90608253,-122.4344104,3,Artificial lure,PWD,Green,8,67,quillback rockfish,41,1.2,,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
135,500,500,9,9.5,4/28/17,GL,SK,CPS,Possession inshore,Possession inshore,47.90596667,-122.4358167,3,Artificial lure,PWD,Green,8,80,black rockfish,52,2.5,,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
136,503,503,9,9.6,4/28/17,GL,SK,CPS,Possession inshore,Possession inshore,47.90151667,-122.4159167,3,Artificial lure,PWD,Green,8,45,lingcod,53,1.3,F,84A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
137,529,529,9,9.19,4/28/17,GL,SK,CPS,Keystone,Keystone west,48.13848333,-122.6781,3,Herring,NA,NA,6,140,quillback rockfish,35,0.9,,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
138,531,531,9,9.2,4/28/17,GL,SK,CPS,Keystone,Keystone west,48.14188333,-122.67815,3,Herring,NA,NA,6,103,quillback rockfish,35,0.9,,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
139,534,534,9,9.22,4/28/17,GL,SK,CPS,Keystone,Keystone west,48.13795,-122.6780167,3,Herring,NA,NA,6,150,lingcod,70,3,F,17A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
140,535,535,9,9.22,4/28/17,GL,SK,CPS,Keystone,Keystone west,48.1381,-122.6783333,3,Herring,NA,NA,6,151,quillback rockfish,34,1,,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
141,536,536,9,9.22,4/28/17,GL,SK,CPS,Keystone,Keystone west,48.13786667,-122.6780167,3,Herring,NA,NA,6,151,lingcod,70,3.3,M,79A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
142,536,536,9,9.22,4/28/17,GL,SK,CPS,Keystone,Keystone west,48.13786667,-122.6780167,3,Herring,NA,NA,6,151,quillback rockfish,42,1.4,,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
143,536,536,9,9.22,4/28/17,GL,SK,CPS,Keystone,Keystone west,48.13786667,-122.6780167,3,Herring,NA,NA,6,151,yelloweye rockfish,46,2.8,F,27A,120,Released,"Released, NOAA FLOY tag 120",rockfish,,,,,,,,,,,,,,,,,,,,
144,537,537,9,9.23,4/28/17,GL,SK,CPS,Keystone,Keystone east,48.13653333,-122.6766167,3,Herring,NA,NA,6,151,lingcod,46,0.8,F,95A,NA,Take,Couldn't confidently ID sex,lingcod,,,,,,,,,,,,,,,,,,,,
145,538,538,9,9.23,4/28/17,GL,SK,CPS,Keystone,Keystone east,48.13653333,-122.6754333,3,Herring,NA,NA,6,151,quillback rockfish,NA,NA,,NA,NA,Released,Released before measurements,rockfish,,,,,,,,,,,,,,,,,,,,
146,540,540,9,9.24,4/28/17,GL,SK,CPS,Keystone,Keystone east,48.13653333,-122.6754333,4,Herring,NA,NA,6,105,quillback rockfish,39,1.1,,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
147,540,540,9,9.24,4/28/17,GL,SK,CPS,Keystone,Keystone east,48.13653333,-122.6754333,4,Herring,NA,NA,6,110,lingcod,73,3.9,F,53A,NA,Take,,lingcod,,,,,,,,,,,,,,,,,,,,
148,540,540,9,9.24,4/28/17,GL,SK,CPS,Keystone,Keystone east,48.13653333,-122.6754333,4,Herring,NA,NA,6,115,lingcod,94,7.9,F,96A,NA,Released,Untagged released individual,lingcod,,,,,,,,,,,,,,,,,,,,
149,541,541,9,9.25,4/28/17,GL,SK,CPS,Keystone,Keystone east,48.13451667,-122.6716,4,Herring,NA,NA,6,175,copper rockfish,47,2.2,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
150,542,542,9,9.25,4/28/17,GL,SK,CPS,Keystone,Keystone east,48.13451667,-122.6716,4,Herring,NA,NA,6,175,quillback rockfish,41,1.6,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
151,544,544,9,9.26,4/28/17,GL,SK,CPS,Keystone,Keystone east,48.13461667,-122.6718333,4,Herring,NA,NA,6,184,copper rockfish,43,1.4,,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
152,4,549,10,10.1,6/13/17,KA,SK,CPS,Point No Point,Point No Point,47.91479216,-122.4866799,3,Live large,Pacific sanddab,NA,32,285,spiny dogfish,75,NA,F,NA,NA,Released,,groundfish,,,,,,,,,,,,,,,,,,,,32 cm sanddab
153,5,550,10,10.1,6/13/17,KA,SK,CPS,Point No Point,Point No Point,47.91558174,-122.485431,3,Live large,Pacific sanddab,NA,32,285,spiny dogfish,76,NA,F,NA,NA,Released,,groundfish,,,,,,,,,,,,,,,,,,,,28 cm sanddab
154,18,563,10,10.8,6/13/17,KA,SK,CPS,South Blake,South Blake,47.52779601,-122.4951038,4,Artificial lure,PWD,Green,8,200,copper rockfish,42,1.38,F,NA,NA,Released,everted stomach; good eyes,rockfish,,,,,,,,,,,,,,,,,,,,
155,21,566,10,10.9,6/13/17,KA,SK,CPS,South Blake,South Blake,47.52791436,-122.4951801,4,Artificial lure,PWD,Green,8,190,copper rockfish,41,1.42,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
156,22,567,10,10.9,6/13/17,KA,SK,CPS,South Blake,South Blake,47.52822306,-122.4958127,4,Artificial lure,PWD,Green,8,203,copper rockfish,46,1.92,M,NA,NA,Released,everted stomach; popeyes,rockfish,,,,,,,,,,,,,,,,,,,,
157,27,572,10,10.11,6/13/17,KA,SK,CPS,South Blake,South Blake,47.52766408,-122.4943646,4,Artificial lure,PWD,Green,8,NA,copper rockfish,35,0.8,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
158,27,572,10,10.11,6/13/17,KA,SK,CPS,South Blake,South Blake,47.52766408,-122.4943646,4,Artificial lure,PWD,Green,8,NA,brown rockfish,24,0.25,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
159,29,574,10,10.12,6/13/17,KA,SK,CPS,South Blake,South Blake,47.52772769,-122.4946653,4,Artificial lure,PWD,Green,8,200,copper rockfish,42,1.5,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
160,30,575,10,10.12,6/13/17,KA,SK,CPS,South Blake,South Blake,47.52780606,-122.4946835,4,Artificial lure,PWD,Green,8,200,lingcod,90,7.6,F,21B,122,Released,,lingcod,,,,,,,,,,,,,,,,,,,,Released (NOAA tag #122)
161,32,577,10,10.13,6/13/17,KA,SK,CPS,South Blake,South Blake,47.52867619,-122.4948,4,Artificial lure,PWD,Green,8,111,brown rockfish,23,0.2,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
162,37,582,10,10.15,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64042858,-122.4273555,4,Herring,NA,NA,6,85,quillback rockfish,34,0.85,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
163,43,588,10,10.17,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64021208,-122.4269795,4,Herring,NA,NA,6,85,brown rockfish,28,0.38,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
164,44,589,10,10.17,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64059295,-122.4275585,4,Herring,NA,NA,6,100,spiny dogfish,67,NA,M,NA,NA,Released,,groundfish,,,,,,,,,,,,,,,,,,,,
165,45,590,10,10.17,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64064911,-122.4275752,4,Herring,NA,NA,6,100,spiny dogfish,74,NA,M,NA,NA,Released,,groundfish,,,,,,,,,,,,,,,,,,,,
166,48,593,10,10.18,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64002282,-122.4274675,4,Herring,NA,NA,6,92,black rockfish,44,1.5,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
167,53,598,10,10.2,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.63998191,-122.4270988,4,Herring,NA,NA,6,91,black rockfish,48,2.2,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
168,55,600,10,10.21,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64021803,-122.4275484,4,Herring,NA,NA,6,88,quillback rockfish,29,0.55,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
169,55,600,10,10.21,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64021803,-122.4275484,4,Herring,NA,NA,6,88,quillback rockfish,28,0.5,F,NA,NA,Released,eyed larvae,rockfish,,,,,,,,,,,,,,,,,,,,
170,58,603,10,10.22,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.6404679,-122.4274349,4,Herring,NA,NA,6,80,quillback rockfish,27,0.45,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
171,63,608,10,10.24,6/13/17,KA,SK,CPS,4 mile rock,4 mile rock,47.64036614,-122.426895,4,Herring,NA,NA,6,78,spiny dogfish,77,NA,M,NA,NA,Released,,groundfish,,,,,,,,,,,,,,,,,,,,
172,149,694,11,11.1,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55129109,-122.9927877,4,Artificial lure,PWD,Green,6,170,lingcod,63,2.7,M,49A,NA,Take,1 parasite; Brown,lingcod,,,,,,,,,,,,,,,,,,,,
173,149,694,11,11.1,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55129109,-122.9927877,4,Artificial lure,PWD,Green,6,170,lingcod,75,4.8,M,52A,NA,Take,2 parasites; Brown,lingcod,,,,,,,,,,,,,,,,,,,,
174,150,695,11,11.1,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55193859,-122.9935445,4,Artificial lure,PWD,Green,6,226,lingcod,55,1.9,F,61A,NA,Take,5 parasites; Blue,lingcod,,,,,,,,,,,,,,,,,,,,
175,150,695,11,11.1,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55193859,-122.9935445,4,Artificial lure,PWD,Green,6,220,copper rockfish,44,1.75,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
176,150,695,11,11.1,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55193859,-122.9935445,4,Artificial lure,PWD,Green,6,226,quillback rockfish,39,NA,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
177,152,697,11,11.2,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.5503498,-122.9916692,4,Artificial lure,PWD,Green,6,58,kelp greenling,35,NA,F,NA,NA,Released,,groundfish,,,,,,,,,,,,,,,,,,,,
178,153,698,11,11.2,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55108398,-122.9922511,4,Artificial lure,PWD,Green,6,107,kelp greenling,40,NA,M,NA,NA,Released,,groundfish,,,,,,,,,,,,,,,,,,,,
179,153,698,11,11.2,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55108398,-122.9922511,4,Artificial lure,PWD,Green,6,180,quillback rockfish,37,1,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
180,154,699,11,11.2,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.5516293,-122.9927019,4,Artificial lure,PWD,Green,6,210,quillback rockfish,36,1.2,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
181,155,700,11,11.2,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55172477,-122.9928707,4,Artificial lure,PWD,Green,6,205,lingcod,55,1.65,M,68A,NA,Take,8 parasites; Brown,lingcod,,,,,,,,,,,,,,,,,,,,
182,158,703,11,11.3,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55022458,-122.9915101,3,Artificial lure,PWD,Green,6,58,kelp greenling,39,0.9,F,NA,NA,Released,,groundfish,,,,,,,,,,,,,,,,,,,,
183,160,705,11,11.3,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55127064,-122.9919391,3,Artificial lure,PWD,Green,6,170,kelp greenling,39,1.1,M,NA,NA,Released,,groundfish,,,,,,,,,,,,,,,,,,,,
184,162,707,11,11.3,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55139922,-122.9916862,3,Artificial lure,PWD,Green,6,180,quillback rockfish,6,1,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
185,162,707,11,11.3,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55139922,-122.9916862,3,Artificial lure,PWD,Green,6,180,quillback rockfish,35,1,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
186,162,707,11,11.3,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55139922,-122.9916862,3,Artificial lure,PWD,Green,6,180,yellowtail rockfish,43,1.4,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
187,163,708,11,11.3,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55142093,-122.991108,3,Artificial lure,PWD,Green,6,227,quillback rockfish,2,0.8,F,NA,NA,Released,1 popeye,rockfish,,,,,,,,,,,,,,,,,,,,
188,164,709,11,11.3,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55139427,-122.9909667,3,Artificial lure,PWD,Green,6,228,quillback rockfish,35,1.05,M,NA,NA,Released,2 popeyes,rockfish,,,,,,,,,,,,,,,,,,,,
189,166,711,11,11.4,9/11/17,KA,JF,SJI,Reid rocks/Turn Island,San Juan channel,48.55031678,-122.9905529,3,Artificial lure,PWD,Green,6,66,lingcod,46,0.9,M,50A,123,Released,Brown,lingcod,,,,,,,,,,,,,,,,,,,,
190,183,728,11,11.11,9/11/17,KA,JF,SJI,Pile Point,Pile Point,48.48404266,-123.097123,4,Herring,NA,NA,8,103,quillback rockfish,42,1.78,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
191,186,731,11,11.12,9/11/17,KA,JF,SJI,Pile Point,Pile Point,48.48557462,-123.099897,4,Herring,NA,NA,8,80,lingcod,53,1.65,M,07C,NA,Take,2 parasites; Brown,Lingcod,,,,,,,,,,,,,,,,,,,,
192,188,733,11,11.13,9/11/17,KA,JF,SJI,Pile Point,Pile Point,48.47372882,-123.074211,4,Herring,NA,NA,8,128,lingcod,71,3.3,M,66C,NA,Take,0 parasites; Blue,Lingcod,,,,,,,,,,,,,,,,,,,,
193,192,737,11,11.14,9/11/17,KA,JF,SJI,Pile Point,Pile Point,48.47371364,-123.0742274,4,Herring,NA,NA,8,65,lingcod,64,2.5,M,29C,NA,Released,Brown; puked up YOY rockfish genetic sample 48C and isotope sample 57C,Lingcod,,,,,,,,,,,,,,,,,,,,
194,193,738,11,11.14,9/11/17,KA,JF,SJI,Pile Point,Pile Point,48.47248871,-123.0716138,4,Herring,NA,NA,8,130,lingcod,79,5,F,12C,NA,Released,Blue; puked up isotope sample 75C,Lingcod,,,,,,,,,,,,,,,,,,,,
195,231,776,12,12.15,9/12/17,KA,JF,SJI,Point Lawrence,Point Lawrence,48.67254102,-122.7437638,3,Herring,NA,NA,8,150,quillback rockfish,41,1.52,F,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
196,234,779,12,12.16,9/12/17,KA,JF,SJI,Point Lawrence,Point Lawrence,48.67223936,-122.7423632,3,Herring,NA,NA,8,250,lingcod,68,3.2,F,95C,124,Released,4 parasites; Blue,lingcod,,,,,,,,,,,,,,,,,,,,
197,243,788,12,12.2,9/12/17,KA,JF,SJI,South Blakely,Blakely channel,48.56826026,-122.7748576,3,Artificial lure,PWD,Green,8,120,copper rockfish,40,1.3,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
198,250,795,12,12.23,9/12/17,KA,JF,SJI,Black Rock/Strawberry Island,Blakely channel,48.54542678,-122.7657115,3,Artificial lure,PWD,Green,6,60,copper rockfish,NA,NA,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
199,251,796,12,12.23,9/12/17,KA,JF,SJI,Black Rock/Strawberry Island,Blakely channel,48.5453878,-122.766027,3,Artificial lure,PWD,Green,6,95,copper rockfish,NA,NA,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
200,252,797,12,12.23,9/12/17,KA,JF,SJI,Black Rock/Strawberry Island,Blakely channel,48.5453956,-122.7660833,3,Artificial lure,PWD,Green,6,125,lingcod,55,1.7,F,26C,,Take,4 PARASITES; Blue,Lingcod,,,,,,,,,,,,,,,,,,,,
201,252,797,12,12.23,9/12/17,KA,JF,SJI,Black Rock/Strawberry Island,Blakely channel,48.5453956,-122.7660833,3,Artificial lure,PWD,Green,6,125,quillback rockfish,38,NA,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
202,253,798,12,12.23,9/12/17,KA,JF,SJI,Black Rock/Strawberry Island,Blakely channel,48.54536542,-122.7659668,3,Artificial lure,PWD,Green,6,124,quillback rockfish,37,NA,U,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
203,258,803,12,12.25,9/12/17,KA,JF,SJI,Belle Rock,Belle/Bird rocks,48.49028827,-122.7546875,3,Artificial lure,PWD,Green,6,120,lingcod,80,5.3,F,67C,125,Released,BLUE,Lingcod,,,,,,,,,,,,,,,,,,,,
204,259,804,12,12.25,9/12/17,KA,JF,SJI,Belle Rock,Belle/Bird rocks,48.48939979,-122.7556651,3,Artificial lure,PWD,Green,6,150,quillback rockfish,40,NA,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
205,262,807,12,12.26,9/12/17,KA,JF,SJI,Belle Rock,Belle/Bird rocks,48.49007789,-122.754593,1,Artificial lure,PWD,Green,6,150,quillback rockfish,42,NA,M,NA,NA,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
206,2,810,13,13.1,9/24/17,KA,JF,SJI,Sucia Island,Sucia Island,48.76570897,-122.920076,3,Herring,NA,NA,8,101,redstripe rockfish,18,NA,U,63A,,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
207,2,810,13,13.1,9/24/17,KA,JF,SJI,Sucia Island,Sucia Island,48.76570897,-122.920076,3,Herring,NA,NA,8,101,redstripe rockfish,17,NA,U,41C,,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
208,3,811,13,13.1,9/24/17,KA,JF,SJI,Sucia Island,Sucia Island,48.76585297,-122.920196,3,Herring,NA,NA,8,101,redstripe rockfish,16,NA,U,4C,,Released,,rockfish,,,,,,,,,,,,,,,,,,,,
209,7,815,13,13.3,9/24/17,KA,JF,SJI,Sucia Island,Sucia Island,48.76956197,-122.916304,4,Herring,NA,NA,8,92,lingcod,77,4.5,F,08C,,Take,BLUE,lingcod,,,,,,,,,,,,,,,,,,,,
210,8,816,13,13.3,9/24/17,KA,JF,SJI,Sucia Island,Sucia Island,48.76959398,-122.915889,4,Herring,NA,NA,8,80,lingcod,64,2.5,M,68B,,Take,3 PARASITES; BLUE,lingcod,,,,,,,,,,,,,,,,,,,,
